nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
PROVINSI DKI JAKARTA,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK - 2.16.2.20.0.00.01.0000",59437127,46598770,2024,Tender,APBD,PT.Platinum Network Indonesia,Tender,Jasa Lainnya,Pemeliharaan Data Center,SELESAI,2599753200,2599753200
PROVINSI DKI JAKARTA,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,59847127,46756535;51603366,2024,Tender,APBD,CV. PUTRA BAYAK RAYA,Tender,Pekerjaan Konstruksi,",Pekerjaan Konstruksi Rehabilitasi Gedung Dinas Lingkungan Hidup",SELESAI,10923352300,10923352300
PROVINSI DKI JAKARTA,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.03.0000,61237127,48008305,2024,Tender,APBD,PT. HANASTHA KARYA MANDIRI,Tender,Pekerjaan Konstruksi,Perbaikan Gedung UPPPD Bapenda,SELESAI,3671012958,3671012958
PROVINSI DKI JAKARTA,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",60060127,50774494,2024,Tender,APBD,PT. PARAMITRA MULTI PRAKASA,Tender,Pekerjaan Konstruksi,Pekerjaan Restorasi Rumah Dinas Gubernur DKI Jakarta,SELESAI,19012867130,19012867130
PROVINSI DKI JAKARTA,UNIT PENGELOLA RUMAH SUSUN VIII - 1.04.0.00.0.00.01.0016,59454127,46838623,2024,Tender,APBD,PT. GRANITINDO CIPTA SEJATI,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Jasa Konsultansi Konstruksi Perencanaan Perawatan Berkala Rumah Susun Blk Pasar Rebo,SELESAI,491619000,491619000
PROVINSI DKI JAKARTA,DINAS SOSIAL - 1.06.0.00.0.00.01.0000,59797127,49062031,2024,Tender,APBD,CIKAL TRANSPARANSI KONSULTAN,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Pengawasan Pemeliharaan Gedung A dan B Kantor Dinas Sosial Provinsi DKI Jakarta,SELESAI,163059000,163059000
PROVINSI DKI JAKARTA,DINAS BINA MARGA - 1.03.0.00.0.00.01.0000,59365127,48015721,2024,Tender,APBD,PT. Rudian Hanskoji Konsultan,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Pembangunan Trotoar Beserta Bangunan Pelengkap Jalan di Provinsi DKI Jakarta (Pengawasan Pembangunan Trotoar Bidang Kelengkapan Jalan Paket 1),SELESAI,786346200,786346200
PROVINSI DKI JAKARTA,DINAS PERHUBUNGAN - 2.15.0.00.0.00.01.0000,59543127,49775198,2024,Tender,APBD,KAP RONI PUPUNG,Seleksi,Jasa Konsultansi Badan Usaha Non Konstruksi,Pengadaan Jasa Konsultansi Audit Keuangan Pemberian Subsidi Prasarana dan Sarana MRT Jakarta Tahun 2024,SELESAI,800699451,800699451
PROVINSI DKI JAKARTA,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",59561127,44842266,2024,Tender,APBD,PT. BAYU SUKSES PRATAMA,Tender,Pekerjaan Konstruksi,Pekerjaan Konstruksi Revitalisasi Sistem Hidran Balaikota DKI Jakarta,SELESAI,24484477075,24484477075
PROVINSI DKI JAKARTA,PUSAT DATA DAN TEKNOLOGI INFORMASI KESEHATAN DAERAH - 1.02.0.00.0.00.01.0089,59340127,47482828,2024,Tender,APBD,IRA NISRAWATI HAFILI,Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,Tenaga Ahli Analis Data (2),SELESAI,111925000,111925000
PROVINSI DKI JAKARTA,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,59706127,46761038;51618936,2024,Tender,APBD,pt. fatek engineering consultant,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Jasa Konsultansi Pengawasan Pembangunan Aula dan Pembangunan Pagar Asrama Ciracas,SELESAI,174492000,174492000
PROVINSI DKI JAKARTA,SUKU BADAN PENGELOLAAN ASET DAERAH KOTA - JAKSEL - 5.02.0.00.0.00.02.0004,59328127,45839820,2024,Tender,APBD,PT. MATARAM SURYA CIPTA,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Jasa Konsultansi Perencanaan Pemagaran Tanah Aset Milik Pemerintah Provinsi DKI Jakarta di Lahan Dinas Lingkungan Hidup Desa Ciangir Kabupaten Tangerang,SELESAI,582417000,582417000
PROVINSI DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT - 7.01.0.00.0.00.01.0000,59836127,51247524,2024,Tender,APBD,PT. BAYU BERLIAN MANDIRI,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Rehab Total Kantor Lurah Senen Kota Administrasi Jakarta Pusat,SELESAI,276765180,276765180
PROVINSI DKI JAKARTA,DINAS BINA MARGA - 1.03.0.00.0.00.01.0000,59865127,47183258,2024,Tender,APBD,PT.SADHYA GRAHACARA,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan DED Jembatan di Provinsi DKI Jakarta Paket 1 Tahun 2024,SELESAI,350565750,350565750
PROVINSI DKI JAKARTA,UNIT PENGELOLA SAMPAH TERPADU - 2.11.0.00.0.00.01.0008,59687127,50609610,2024,Tender,APBD,PT. BUMI MADANI,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Penurapan Kali di TPST Bantargebang (Konsultan Pengawas),SELESAI,213564000,213564000
PROVINSI DKI JAKARTA,BIRO KERJASAMA DAERAH - 4.01.0.00.0.00.01.0008,60001127,48697744,2024,Tender,APBD,Ernst & Young Indonesia,Seleksi,Jasa Konsultansi Badan Usaha Non Konstruksi,Jasa Konsultansi Berorientasi Layanan-Jasa Konsultansi Manajemen - Grand Design Kerja sama,SELESAI,4256748713,4256748713
PROVINSI DKI JAKARTA,PUSAT DATA DAN TEKNOLOGI INFORMASI KESEHATAN DAERAH - 1.02.0.00.0.00.01.0089,59343127,47483295,2024,Tender,APBD,Delima Mentari Amara,Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,Tenaga Ahli Pengelola Media Sosial,SELESAI,111925000,111925000
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,59920127,51621345,2024,Tender,APBD,PT. Ambara Puspita,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,"Pengawasan Pembangunan Sistem Pengelolaan Air Limbah Domestik Terpusat (SPALD-T) Skala Permukiman di Embung Pekayon, Taman Sirsak, Taman Tongkang, Taman RW 08 Kramat dan Taman RW 10 Sukapura",SELESAI,1017204000,1017204000
PROVINSI DKI JAKARTA,UNIT PENANGANAN SAMPAH BADAN AIR - 2.11.0.00.0.00.01.0010,61264127,51612834,2024,Tender,APBD,PT. DAYACIPTA KREASI BERSAMA,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Pembangunan Hanggar TB Simatupang,SELESAI,338566650,338566650
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,59802127,51397426,2024,Tender,APBD,PT ARDIA MANDIRI,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Pengawasan Peningkatan Sambungan Rumah (SR) SPALD-T Skala Permukiman Sistem Penyaluran Terpisah (Sewerage) Eksisting di Provinsi DKI Jakarta Tahun 2024,SELESAI,755854500,755854500
PROVINSI DKI JAKARTA,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",60121127,51884775,2024,Tender,APBD,PT. ARTHA BUANA PERKASA,Tender,Pekerjaan Konstruksi,Jasa Konstruksi Rumah Negara Golongan I Tipe A (Jalan Besakih),SELESAI,15741344348,15741344348
PROVINSI DKI JAKARTA,DINAS PEMUDA DAN OLAHRAGA - 2.19.0.00.0.00.01.0000,59941127,47290394,2024,Tender,APBD,CEMARA MUTO SEMESTA,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Revitalisasi Kawasan GOR Kemakmuran,SELESAI,899377500,899377500
PROVINSI DKI JAKARTA,PUSKESMAS PASAR REBO - 1.02.0.00.0.00.01.0122,61246127,52191604,2024,Tender,BLUD,PT. BERKAH TIALAM MARISITUA,Tender,Pekerjaan Konstruksi,Pekerjaan Instalasi Hidran Puskesmas Pasar Rebo,SELESAI,1046981565,1046981565
